tick,q1,q2,q3,q4,yaw,pitch,roll,axR,ayR,azR,axW,ayW,azW,temp,Head1,Head2
9810237,0.99,0.01,-0.01,0.13,-14.37,1.26,0.60,-3,-3,59,-3,-4,58,35,4,251
9810264,0.99,0.01,-0.01,0.13,-14.37,1.26,0.60,-3,0,64,-4,-1,63,35,4,251
9810291,0.99,0.01,-0.01,0.13,-14.37,1.26,0.60,-7,0,70,-8,-2,69,35,4,251
9810328,0.99,0.01,-0.01,0.13,-14.37,1.27,0.60,0,0,63,-1,0,62,35,4,251
9810347,0.99,0.01,-0.01,0.13,-14.37,1.27,0.60,0,-2,63,0,-2,62,35,4,251
9810374,0.99,0.01,-0.01,0.13,-14.37,1.27,0.60,-1,0,63,-2,-1,62,35,4,251
9810401,0.99,0.01,-0.01,0.13,-14.37,1.27,0.60,0,-2,58,0,-2,57,35,4,251
9810427,0.99,0.01,-0.01,0.13,-14.37,1.27,0.60,2,0,62,0,0,62,35,4,251
9810454,0.99,0.01,-0.01,0.13,-14.37,1.27,0.60,4,0,60,2,0,60,35,4,251
9810480,0.99,0.01,-0.01,0.13,-14.37,1.27,0.60,1,-3,63,0,-3,62,35,4,251
9810507,0.99,0.01,-0.01,0.13,-14.37,1.27,0.60,8,2,62,6,2,62,35,4,251
9810533,0.99,0.01,-0.01,0.13,-14.37,1.27,0.60,9,3,57,6,4,57,35,4,251
9810560,0.99,0.01,-0.01,0.13,-14.37,1.27,0.60,6,-2,65,5,-1,65,35,4,251
9810586,0.99,0.01,-0.01,0.13,-14.37,1.27,0.60,5,0,68,3,0,68,35,4,251
9810613,0.99,0.01,-0.01,0.13,-14.37,1.27,0.60,0,2,63,-1,0,63,35,4,251
9810639,0.99,0.01,-0.01,0.13,-14.37,1.27,0.60,-3,2,60,-4,0,59,35,4,251
9810666,0.99,0.01,-0.01,0.13,-14.37,1.27,0.60,-4,1,58,-5,0,57,35,4,251
9810693,0.99,0.01,-0.01,0.13,-14.37,1.27,0.60,0,2,61,-1,0,61,35,4,251
