tick,q1,q2,q3,q4,yaw,pitch,roll,axR,ayR,azR,axW,ayW,azW,temp,Head1,Head2
60273,0.99,-0.05,-0.05,-0.09,10.25,5.78,-5.39,2165,2398,324,2521,2021,313,35,2,131
60283,0.99,-0.05,-0.05,-0.08,9.98,5.76,-5.16,2269,2026,449,2539,1663,490,35,2,130
60293,0.99,-0.05,-0.05,-0.08,9.72,5.78,-4.90,2391,1681,559,2582,1326,651,35,2,129
60303,0.99,-0.04,-0.05,-0.08,9.42,5.84,-4.63,2438,1385,643,2565,1046,773,35,2,128
60313,0.99,-0.04,-0.05,-0.08,9.13,5.97,-4.33,2459,1098,680,2529,774,847,35,2,128
60323,1.00,-0.04,-0.05,-0.07,8.81,6.15,-3.97,2484,897,660,2516,580,858,35,2,127
60333,1.00,-0.03,-0.05,-0.07,8.44,6.36,-3.47,2528,814,558,2550,495,784,35,2,126
60343,1.00,-0.03,-0.06,-0.07,8.03,6.58,-2.83,2576,820,382,2609,494,633,35,2,125
60353,1.00,-0.02,-0.06,-0.06,7.61,6.78,-2.07,2625,872,179,2680,540,455,35,2,125
60364,1.00,-0.02,-0.06,-0.06,7.17,6.94,-1.30,2696,912,25,2766,581,330,35,2,124
60374,1.00,-0.01,-0.06,-0.06,6.72,7.09,-0.60,2785,885,-49,2854,560,285,35,2,124
60384,1.00,-0.00,-0.06,-0.05,6.25,7.18,0.00,2887,790,17,2930,475,377,35,2,124
60394,1.00,0.00,-0.06,-0.05,5.73,7.27,0.44,2898,637,139,2905,346,509,35,2,124
60404,1.00,0.00,-0.06,-0.05,5.21,7.38,0.75,2899,394,303,2858,128,677,35,2,124
60414,1.00,0.01,-0.07,-0.04,4.70,7.53,0.97,2868,73,417,2784,-166,790,35,2,125
60424,1.00,0.01,-0.07,-0.04,4.17,7.73,1.15,2911,-147,520,2795,-367,903,35,2,126
60434,1.00,0.01,-0.07,-0.03,3.60,7.93,1.20,2887,-293,591,2752,-485,977,35,2,127
60444,1.00,0.01,-0.07,-0.03,2.98,8.15,1.18,2871,-345,676,2723,-507,1068,35,2,128
60454,1.00,0.01,-0.07,-0.02,2.33,8.37,1.14,2841,-348,773,2680,-479,1171,35,2,129
60464,1.00,0.01,-0.08,-0.01,1.63,8.61,1.08,2777,-356,873,2603,-453,1271,35,2,130
60474,1.00,0.01,-0.08,-0.01,0.85,8.88,1.04,2696,-393,954,2509,-454,1351,35,2,131
60484,1.00,0.01,-0.08,-0.00,0.00,9.14,1.02,2566,-430,983,2377,-454,1370,35,2,132
60495,1.00,0.01,-0.08,0.01,-0.90,9.40,0.98,2411,-487,1002,2222,-476,1373,35,2,134
60505,1.00,0.01,-0.08,0.01,-1.82,9.63,0.92,2232,-605,1031,2046,-563,1379,35,2,134
60515,1.00,0.01,-0.09,0.02,-2.73,9.83,0.79,2018,-765,1081,1838,-698,1398,35,2,135
60525,1.00,0.01,-0.09,0.03,-3.62,10.02,0.57,1862,-1075,1165,1695,-985,1460,35,2,136
60535,1.00,0.01,-0.09,0.04,-4.52,10.24,0.29,1707,-1413,1220,1568,-1302,1496,35,2,136
60545,0.99,0.00,-0.09,0.05,-5.41,10.47,-0.05,1582,-1760,1202,1494,-1627,1470,35,2,136
60555,0.99,0.00,-0.09,0.05,-6.31,10.70,-0.41,1479,-2109,1140,1460,-1952,1409,35,2,136
60565,0.99,-0.00,-0.10,0.06,-7.20,10.94,-0.75,1412,-2387,1061,1467,-2205,1340,35,2,136
60575,0.99,-0.00,-0.10,0.07,-8.06,11.14,-1.02,1349,-2575,997,1471,-2372,1284,35,2,136
60585,0.99,-0.00,-0.10,0.08,-8.90,11.32,-1.24,1339,-2664,994,1504,-2436,1294,35,2,136
60595,0.99,-0.00,-0.10,0.08,-9.72,11.48,-1.45,1332,-2718,1048,1525,-2465,1360,35,2,136
60606,0.99,-0.01,-0.10,0.09,-10.55,11.66,-1.66,1368,-2803,1147,1584,-2517,1480,35,2,136
60616,0.99,-0.01,-0.10,0.10,-11.39,11.87,-1.88,1427,-2792,1199,1657,-2468,1557,35,2,136
60626,0.99,-0.01,-0.11,0.11,-12.23,12.13,-2.10,1489,-2778,1181,1744,-2412,1568,35,2,136
60636,0.99,-0.01,-0.11,0.11,-13.07,12.41,-2.36,1556,-2844,1095,1866,-2431,1519,35,2,137
60646,0.99,-0.01,-0.11,0.12,-13.86,12.68,-2.61,1613,-2901,969,1986,-2441,1430,35,2,137
60656,0.99,-0.01,-0.11,0.13,-14.62,12.94,-2.89,1662,-3041,871,2112,-2533,1372,35,2,138
60666,0.98,-0.01,-0.12,0.13,-15.34,13.21,-3.24,1676,-3285,805,2226,-2732,1351,35,2,139
60676,0.98,-0.01,-0.12,0.14,-16.08,13.56,-3.61,1651,-3510,752,2298,-2921,1337,35,2,139
